record,uuid,date,markers,vboost,hboost,hQC_FINAL,S1,S2,hAGE,hGender,S3r1,S3r2,S3r3,S3r4,S3r5,S3r6,S3r7,S3r8,S3r9,S4r1,S4r2,S4r3,S4r4,S4r5,S4r6,S5,S6r1,S6r2,S6r3,S6r4,S6r5,S6r6,S6r7,S6r8,S6r9,S6r99,S6r100,S6a,S6b,S7r1,S7r2,S7r3,S7r4,S7r5,S7r6,S7r7,S7r8,S7r9,S7r10,S7r11,S7r12,S7r13,S7r14,S7r15,S7r16,S7r99,S7r100,S7a,S8a,hMVPD,h_vMVPD,h_SVOD,S8b,PRIMARY_TV,S9,S10B,hSports,Q1,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q3r1,Q3r2,Q3r3,Q3r4,Q3r5,Q3r6,Q3r7,Q3r8,Q3r9,Q3r10,Q3r11,Q3r12,Q3r13,Q3r14,Q3r15,Q3r16,Q3r17,Q3r18,Q3r19,Q3r20,Q3r21,Q3r22,Q3r23,Q3r24,Q3r25,Q3r26,Q3r27,Q3r28,Q3r29,Q3r30,Q3r31,Q3r32,Q3r33,Q3r34,Q3r35,Q3r36,Q3r37,Q3r38,Q3r39,Q3r40,Q3r41,Q3r42,Q3r43,Q3r44,Q3r45,Q3r46,Q3r47,Q3r48,Q3r49,Q3r50,Q3r51,Q3r52,Q3r53,Q3r54,Q3r55,Q3r56,Q3r57,Q3r58,Q3r59,Q3r60,Q3r61,Q3r62,Q3r63,Q3r64,Q3r65,Q3r66,Q3r67,Q3r68,Q3r69,Q3r70,Q3r71,Q3r99,QC_FLAG_1,Q4,Q5r1,Q5r2,Q5r3,Q5r4,Q5r5,Q5r6,QC_FLAG_2,Q6,Q7,MD_Version,MD_1best,MD_1worst,MD_2best,MD_2worst,MD_3best,MD_3worst,MD_4best,MD_4worst,MD_5best,MD_5worst,MD_6best,MD_6worst,MD_7best,MD_7worst,MD_8best,MD_8worst,MD_9best,MD_9worst,MD_10best,MD_10worst,MD_11best,MD_11worst,MD_12best,MD_12worst,MD_13best,MD_13worst,MD_14best,MD_14worst,MD_15best,MD_15worst,MD_16best,MD_16worst,MD_17best,MD_17worst,MD_18best,MD_18worst,MD_19best,MD_19worst,MD_20best,MD_20worst,MD_Timer,Q8r1,Q8r2,Q8r3,Q8r4,Q8r5,Q8r6,Q8r7,Q8r8,Q10r1,Q10r2,Q12,S10r1,S10r2,S10r3,S10r4,S10r5,S10r6,S10r7,S10r8,S10r9,S10r10,S10r11,S10r12,S10r13,S10r14,S10r15,S10r16,S10r17,S10r18,S10r19,S10r20,S10r21,S10r22,S10r23,S10r24,S10r99,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13r12,Q13r13,Q13r99,Q13r100,Q14r1,Q14r2,Q14r3,Q14r4,Q14r5,Q14r6,Q14r7,Q14r8,Q14r9,Q14r10,Q14r11,Q14r12,Q14r13,Q14r99,Q14r100,Q15r1,Q15r2,Q15r3,Q15r4,Q15r5,Q15r6,Q15r7,Q15r8,Q15r9,Q15r10,Q15r11,Q15r12,Q15r13,Q15r14,Q15r15,Q15r99,Q16,Q17,Q18r1,Q18r2,Q18r3,Q18r4,Q18r5,QC_FLAG_3,Q19r1,Q19r2,Q20,Q22,Q23,Q24,Q26,vlist,qtime,vos,vbrowser,vmobiledevice,vmobileos,start_date,vdropout,cov_TV_usage,smart_TV,MD_Cluster_3,MD_Cluster_4,MD_Cluster_5
7549,0tywuya2565mgd3e,09-Sep-23,"qualified,/boost1_mvpd/MVPD_USERS,/boost1/H_MVDP_USERS,/overall/",2,1,0,19,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0, , ,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,150, ,2,2,2,2,3,1,3,2,10,0,5,5,0,1,3,5,5,5,3,5,4,4,5,5,3,5,4,3,5,4,5,4,5,5,3,5,5,5,3,5,4,3,5,5,4,5,5,4,5,4,5,4,5,4,3,3,5,5,5,5,5,5,3,4,3,5,4,3,5,5,4,5,5,5,5,3,5,5,5,5,5,3,5,4,5,5,2,1,3,8,8,10,10,10,4,1,10,10,16,46,10,33,40,65,69,12,52,29,24,8,44,34,4,1,39,57,35,47,20,55,7,53,3,70,46,22,42,66,36,33,21,1,11,49,45,31,5,18,23,8.77,4,5,1,2, , , ,3,1,0,7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0, , , , , ,1,1, , ,0, , ,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4,5,6,6,4,4,3,2,6,5,4,4,2,1,2,1,1879.16,4,10,5,6,09-Sep-23, ,2,1, , , 
7566,fqc62pcrf9edx5v0,09-Sep-23,"qualified,/boost1/H_MVDP_USERS,/boost1/genAGE_2,/overall/qual,/M",2,1,0,42,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,1,0,0,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20, ,1,2,1,19,2,1,1,1,10,10,10,10,10,10,10,2,2,2,2,2,2,3,2,2,3,3,3,3,3,2,2,2,3,4,4,4,3,2,2,3,4,3,3,4,4,4,3,4,3,3,3,3,3,2,2,2,2,4,2,2,3,2,4,3,3,4,3,2,4,2,2,3,4,2,3,2,3,3,3,2,4,3,3,2,3,4,2,1,5,5,5,5,5,5,4,1,7,5,54,71,47,51,68,14,5,52,67,70,63,69,42,43,44,55,46,38,23,7,65,1,9,29,41,28,11,20,39,36,57,54,69,22,66,64,53,7,23,71,28,8.59,1,4, ,3, ,2, ,5,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , ,1, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, ,5,6,2,1,1,3,2,6,1,2,4,1,2,1,1,1659.02,14,10,1,2,09-Sep-23, ,3,0, , , 
7571,df0187h9bcv0w8v3,09-Sep-23,"qualified,/boost2/genAGE_5,ver_26,/overall/qual,/boost2_mvpd/MVP",3,2,0,47,2,2,2,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150,1,2,1,2,6,1,1,1,1,4,8,8,8,8,7,6,4,3,3,3,2,4,3,2,2,2,5,3,4,5,5,3,5,4,3,4,4,4,2,2,4,2,4,5,3,3,5,4,4,2,2,4,3,4,4,3,2,5,3,2,1,3,1,4,3,3,4,4,3,5,4,3,3,3,2,3,4,2,4,3,4,2,4,2,4,4,5,2,1,5,8,8,8,8,8,4,1,7,3,26,51,25,18,35,3,7,12,5,71,64,39,17,28,47,69,48,49,58,56,32,54,27,33,9,42,22,61,37,68,29,59,6,50,16,55,25,18,27,52,41,9.62,1,2, , , ,5,3,4,1,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0, , ,0, , ,0,0, , ,0, , ,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,2,4,6,1,1,1,3,2,6,2,2,1,2,1,1,1,1957.31,13,10,5,6,09-Sep-23, ,1,1, , , 
7579,bvbdygj1jv3mkc0x,09-Sep-23,"qualified,/boost1/H_MVDP_USERS,ver_135,/overall/qual,/boost1/gen",2,1,0,29,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0, ,0,0,0,0,0,0,0,1,0,0,0, , ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17, ,1,2,2,19,2,1,1,1,10,8,9,9,7,7,9,4,4,3,3,3,2,3,2,2,4,4,4,4,4,4,4,3,4,4,2,4,4,4,3,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,3,3,2,4,3,3,4,3,4,4,4,4,4,3,4,3,4,3,4,4,4,3,2,4,4,4,4,4,4,4,4,4,2,1,10,9,9,9,9,9,4,1,10,8,135,43,68,15,9,22,71,56,4,18,7,48,42,58,1,59,41,28,5,57,26,19,13,55,6,47,35,12,2,10,8,54,16,30,17,29,19,20,41,65,4,13.65,1,3,2, , , ,4,5,1,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0, ,0, , ,0, , ,0,0,0, , , , ,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0, ,3,4,6,1,6,3,2,6,6,3,4,1,2,1,1,27436.53,4,10,5,6,09-Sep-23, ,3,0, , , 
7589,q0k06k49jmp8unkr,09-Sep-23,"qualified,/boost1_mvpd/MVPD_USERS,/boost1/H_MVDP_USERS,/boost1/g",2,1,0,37,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0, , ,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,150, ,2,2,2,19,3,1,4,2,10,10,10,10,8,10,10,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,5,5,3,3,4,5,1,5,5,3,3,5,5,4,3,4,5,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,2,1,10,10,10,10,10,10,4,1,10,8,47,18,53,67,71,8,15,58,9,59,7,11,38,5,6,45,50,62,37,10,22,31,34,29,56,1,39,61,32,27,44,18,46,58,28,55,42,52,62,13,40,33.26,1, ,4,5,2,3, , ,1,0,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1, ,1,1,1,1,1,1,1,1,1, ,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,4,3,6,6,6,6,3,2,6,6,4,1,2,1,1,1,2953.79,14,10,1,2,09-Sep-23, ,2,1, , , 
7593,dxusvq979s856c60,09-Sep-23,"qualified,/boost1_dtv/DTV_SAT_USERS,ver_183,/MD_Maxdiff/ver_183,",2,1,0,55,1,3,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,6,0,1,0,0,0,0,0,0,0,0,0, , ,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,150,1,2,2,2,6,3,1,4,2,8,8,8,9,7,6,9,5,5,4,4,4,2,5,5,2,4,5,5,3,4,4,3,5,5,4,4,3,5,3,2,3,3,4,5,5,3,5,4,3,3,3,5,5,5,4,5,3,5,4,4,3,4,1,3,4,3,5,4,4,5,5,3,5,5,5,3,4,5,4,5,5,5,4,4,5,4,4,2,1,8,10,8,9,8,8,4,1,7,8,183,54,10,40,35,19,38,14,27,16,53,68,52,1,69,8,56,28,46,54,37,49,47,59,21,42,29,55,23,60,15,43,39,65,9,63,6,48,25,11,52,5.22, ,3,1,2,5, ,4, ,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0, ,1, , ,1,0, ,1,1, , ,0, , ,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,4,3,6,4,3,5,3,2,6,4,4,4,2,2,2,1,1472.96,13,10,5,6,09-Sep-23, ,1,1, , , 
7596,puz53rvnsqhr8h71,09-Sep-23,"qualified,/boost1/H_MVDP_USERS,/MD_Maxdiff/ver_170,/boost1/genAG",2,1,0,48,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0, ,0,0,0,1,0,1,0,1,0,0,0, , ,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,125, ,1,2,2,15,3,2,3,2,5,9,5,8,5,5,10,5,5,5,3,3,2,3,5,3,4,5,1,5,5,4,2,2,5,5,5,5,5,3,2,5,5,3,3,5,5,5,5,5,5,3,3,4,5,4,3,5,5,3,5,3,5,1,5,1,3,5,5,2,4,1,4,5,4,5,3,5,4,4,5,5,5,4,5,4,5,5,2,1,7,9,9,8,8,10,4,1,5,7,170,21,3,33,36,13,10,18,34,54,47,22,28,29,65,26,44,39,35,9,36,45,6,27,24,71,49,14,67,30,55,13,12,26,15,38,59,27,50,8,42,7.45,4,5, ,3, ,1, ,2,1,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0, , ,0,0,0,1,0,0,0,0,0, ,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,2,2,6,5,5,3,3,2,5,5,2,1,1,2,1,1,1248.49,14,10,1,2,09-Sep-23, ,3,1, , , 
7598,8p6dxxtbck7hru76,09-Sep-23,"qualified,/boost1_dtv/DTV_SAT_USERS,/boost1_mvpd/MVPD_USERS,/boo",2,1,0,38,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6,0,0,0,1,0,0,0,1,0,0,0, , ,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,175,1,2,2,2,6,3,1,4,2,4,1,5,5,0,5,6,5,4,5,4,4,3,4,5,5,3,5,5,3,5,5,4,4,4,2,1,3,5,4,5,5,5,3,5,5,4,3,5,5,5,1,5,2,5,3,4,4,4,5,5,5,4,3,4,3,4,3,2,1,5,5,3,4,4,5,5,4,5,5,3,4,4,3,4,3,5,5,2,1,5,5,6,7,5,6,4,1,5,7,23,70,23,1,69,3,20,9,37,55,35,54,64,62,10,5,51,38,27,17,19,29,47,36,58,12,40,28,56,60,21,11,44,33,53,25,31,43,49,41,19,7.19,2,1,5, , ,4,3, ,0,1,6,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, , , , , ,0, , , , , , , , ,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,6,5,6,6,5,2,3,2,6,5,4,4,3,2,98,1,1689.66,14,10,1,2,09-Sep-23, ,1,1, , , 
7603,rxjsm8dwhjn91wtf,09-Sep-23,"qualified,ver_98,/boost1_mvpd/MVPD_USERS,/boost1/H_MVDP_USERS,/o",2,1,0,75,1,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0, , ,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,140, ,2,2,2,15,3,2,1,1,8,10,10,8,8,10,10,2,2,1,1,2,2,2,1,3,3,3,4,3,4,4,1,5,4,4,5,5,4,1,1,3,4,3,5,4,5,3,3,5,3,3,2,3,2,3,2,2,1,2,2,2,3,2,4,1,2,3,3,3,5,3,3,3,4,2,2,3,2,4,4,1,2,2,2,2,5,5,2,1,8,7,8,10,10,10,4,1,10,8,98,53,59,19,27,63,66,54,5,11,41,39,65,48,44,70,49,22,8,17,64,55,42,26,35,13,3,12,45,57,23,31,16,50,1,33,46,30,24,54,60,14.68, ,5,2,1, , ,4,3,0,1,7,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0, , , , ,0, ,0,1,0, , ,1, , ,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,4,1,6,2,1,5,3,2,6,3,4,1,2,2,3,1,3034.09,13,10,5,6,09-Sep-23, ,2,1, , , 
7605,8a94j1g442eh3znb,09-Sep-23,"qualified,/boost1/H_MVDP_USERS,ver_64,/boost1/genAGE_2,/overall/",2,1,0,42,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0, ,0,0,0,0,0,0,0,1,0,0,0, , ,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,90, ,1,2,2,19,2,1,4,2,9,9,10,10,10,9,9,5,5,5,4,5,4,4,5,5,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,5,3,3,3,4,4,4,3,4,4,3,3,3,3,5,3,4,4,4,4,3,4,3,3,5,3,5,3,4,5,4,3,3,4,3,5,2,1,10,10,9,10,9,9,4,1,9,9,64,65,58,42,27,67,12,29,24,44,6,36,32,62,35,9,37,30,64,57,2,25,10,50,47,52,21,69,15,8,3,1,29,26,28,9,53,71,20,55,49,4.66,4, , ,2,5,1,3, ,0,1,7,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1, , ,1, ,1,1,1,0,0,1,0, ,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,4,5,6,5,4,5,3,2,6,4,1,1,2,1,1,1,1280.15,4,10,5,6,09-Sep-23, ,3,1, , , 
7610,9yk0966kg2cv1yq3,09-Sep-23,"qualified,/MD_Maxdiff/ver_197,/boost1/H_MVDP_USERS,ver_197,/boos",2,1,0,41,1,2,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0, ,0,0,0,0,0,0,0,1,0,0,0, , ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,70, ,1,2,2,19,2,1,1,1,9,10,10,8,7,8,8,1,3,1,1,1,1,1,1,4,1,4,4,4,4,4,1,4,4,5,5,5,5,1,1,4,5,1,3,4,5,4,2,3,4,1,5,5,4,1,3,1,1,4,1,1,5,1,4,5,3,3,4,1,5,4,4,3,5,3,1,4,1,4,1,1,1,1,1,5,1,1,2,1,9,6,8,7,8,7,4,1,8,0,197,53,24,21,62,36,55,43,2,48,51,65,41,49,58,54,28,26,35,17,59,22,6,30,16,34,5,15,23,38,67,39,44,45,64,20,9,19,47,12,16,3.51,2,3,4,5,1, , , ,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0, ,0, ,0,0,0,0, ,1, , , , ,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4,1,5,1,1,1,3,2,5,1,2,1,1,1,1,1,728.59,4,10,5,6,09-Sep-23, ,3,1, , , 
7619,wtgdzjyudrwg7hu4,09-Sep-23,"qualified,/boost1/H_MVDP_USERS,/boost1/genAGE_2,ver_130,/overall",2,1,0,44,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0, ,0,0,0,0,0,0,0,1,0,0,0, , ,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100, ,1,2,2,19,2,1,3,2,10,10,10,10,10,10,10,5,4,5,5,5,4,5,5,5,4,5,2,5,5,2,5,5,5,5,4,5,5,4,4,5,5,2,5,5,5,5,5,5,5,4,3,4,5,5,4,5,4,4,5,4,2,1,4,5,4,5,4,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,3,2,1,10,10,10,10,10,10,4,1,10,5,130,30,64,54,18,28,12,44,58,29,10,26,48,8,4,2,40,7,46,27,47,1,49,14,6,43,23,57,69,19,31,60,70,5,34,25,11,42,46,44,33,10.99,5, ,4, , ,3,2,1,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0, , , , , ,0, , , , , ,0, , ,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2,4,6,2,1,1,3,2,6,1,2,1,2,1,1,1,1953.86,12,11,1,6,09-Sep-23, ,3,1, , , 
7620,syf2jb9v9g43ksqt,09-Sep-23,"qualified,/MD_Maxdiff/ver_171,/boost1_mvpd/MVPD_USERS,/boost1/H_",2,1,1,73,1,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,99,0,0,0,1,0,0,0,0,0,0,0, , ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,175, ,2,2,2,11,3,1,2,2,8,8,8,8,9,7,8,3,1,1,1,1,1,2,2,2,3,3,1,4,4,3,1,4,4,3,3,1,3,1,1,4,4,4,4,4,3,4,3,4,4,1,3,3,4,2,4,3,1,2,3,1,4,1,4,1,3,3,3,4,3,4,4,3,3,1,3,4,3,4,3,1,4,1,1,3,4,4,1,0,8,7,7,8,8,8,4,1,8,6,171,21,50,22,24,56,6,52,7,13,16,18,27,17,41,21,62,32,38,46,5,71,65,18,69,19,47,28,23,64,51,27,35,25,40,29,3,32,68,48,9,12.18,2,1,5, , ,4,3, ,1,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0, , , , , , ,0,1, , , , , , ,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0, ,3,5,2,1,3,3,2,3,1,2,2,2,2,2,1,1984.04,13,11,5,6,09-Sep-23, ,3,0, , , 
7633,ejvwcvaj8905za6h,09-Sep-23,"qualified,ver_68,/boost1/H_MVDP_USERS,/overall/qual,/boost1/genA",2,1,1,34,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0, ,0,0,0,1,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10, ,1,2,2,15,2,1,2,2,6,6,8,8,8,7,8,5,4,4,5,4,5,4,4,4,4,3,4,4,4,5,4,4,4,4,4,5,4,4,5,5,4,5,5,4,4,4,4,5,5,4,4,4,4,5,4,5,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,0,7,8,9,3,8,3,4,1,6,7,68,2,22,25,3,39,14,29,11,33,70,52,37,63,8,46,68,64,10,15,35,44,45,62,58,41,61,71,6,50,28,49,30,57,20,1,56,67,63,59,61,0.74,2,5, , ,3,4, ,1,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0, , , , ,0, , , ,1, , , , , ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,3,6,6,3,1,3,2,3,3,4,3,2,2,1,1,333.51,14,10,1,2,09-Sep-23, ,3,0, , , 
7636,u2m4b20jgmx5z3rx,09-Sep-23,"qualified,ver_138,/overall/qual,/gen_pop_samp/genAGE_5,/MD_Maxdi",1,0,1,48,2,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,80, ,2,1,2,1,1,1,1,1,9,6,6,5,6,4,7,2,4,2,3,3,3,3,3,3,3,4,4,3,4,4,3,4,3,4,3,3,3,3,3,4,2,2,3,3,3,4,4,3,2,2,3,3,4,2,3,3,4,4,3,5,3,4,3,2,4,3,3,3,4,3,4,3,3,3,4,2,4,3,3,3,4,3,4,4,3,3,3,0,8,7,7,7,6,6,4,1,7,7,138,60,23,7,12,34,13,5,9,18,62,15,39,23,53,30,2,50,16,28,54,52,44,37,49,26,60,21,57,45,40,67,56,10,25,13,4,36,29,66,69,4.8,1,3,4,5, ,2, , ,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, , , , ,0, , , , , , , , ,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,4,3,5,3,5,5,3,2,2,3,1,1,1,1,5,1,1025.4,4,10,5,6,09-Sep-23, ,2,1,1,2,4
7638,una8pa6bv9vecvg7,09-Sep-23,"qualified,/boost1/H_MVDP_USERS,ver_99,/overall/qual,/boost1/genA",2,1,1,33,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0, ,0,0,0,1,0,0,0,0,0,0,0, , ,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,100, ,1,2,2,15,2,1,3,2,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,9,9,9,9,9,9,4,1,9,9,99,67,29,5,45,37,65,33,49,52,15,70,32,4,7,56,6,68,47,69,34,30,21,24,40,42,43,13,61,64,23,16,38,63,27,66,39,48,11,58,22,10.06,2,3,5,4, , , ,1,1,0,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, , ,0, , , , , , , , , , , ,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0, ,2,6,1,2,2,3,2,6,2,2,1,2,2,1,1,1422.99,13,12,5,6,09-Sep-23, ,3,0, , , 
7639,p1gwa0dzkqxyfeqd,09-Sep-23,"qualified,/MD_Maxdiff/ver_144,/gen_pop_svod/SVOD_ONLY_USERS,/ove",1,0,0,28,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0, ,0,0,0,0,0,0,0,0,0,0,1, , ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30, ,1,1,2, , ,1,1,1, , , , , , , ,1,1,1,1,1,1,1,1,1,5,5,3,5,4,5,1,5,5,5,5,3,5,1,1,5,4,2,5,5,4,5,3,4,5,5,5,4,4,5,1,1,1,1,1,1,5,1,4,5,2,3,4,4,5,4,4,4,4,1,1,4,1,4,5,1,1,1,1,4,3,3,2,1, , , , , , , , , ,10,144,31,26,6,13,36,27,49,2,69,47,39,65,57,5,58,9,22,16,56,1,64,66,18,43,32,5,17,67,30,3,11,44,37,8,19,55,36,42,22,41,6.81,4, ,5, , ,1,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0, ,0, , ,0, , ,0,0, , ,0, , ,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,2,2,1,1,1,3,2,2,1,3,4,1,1,2,1,1599.89,14,10,1,2,09-Sep-23, ,4,1,2,4,5
